"","gene","baseMean","log2FC","stderror","padj","standard_cg","database_cg","systematic_sc","standard_sc","database_sc"
"59","CAGL0F04851g",1626.59207575218,1.37874795926372,0.249166706773472,3.25460550116782e-07,"","CAL0129939","YPR155C","NCA2","S000006359"
"60","CAGL0F06941g",7590.42055076621,1.19934847496208,0.17678548720188,2.10956494702835e-10,"PYC1","CAL0129376","YGL062W","PYC1","S000003030"
"61","CAGL0F07029g",3231.29719049887,2.6162133760335,0.572230274261786,3.2998992095076e-05,"MET13","CAL0131340","YGL125W","MET13","S000003093"
"62","CAGL0F07513g",580.194213425971,1.22296452169023,0.234010902467786,1.57001741277192e-06,"","CAL0130858","YKL093W","MBR1","S000001576"
"63","CAGL0F07777g",1327.34380760171,1.06112340111301,0.237408888212862,5.01015792857643e-05,"","CAL0131152","YMR169C","ALD3","S000004779"
"64","CAGL0F07799g",2171.34575671049,1.00350237805045,0.177916052684233,1.85124361190561e-07,"","CAL0130882","YMR171C","EAR1","S000004781"
"65","CAGL0F07975g",1099.50576492072,2.06068053935696,0.191730901740903,7.23588192789145e-25,"","CAL0131386","YGR237C","YGR237C","S000003469"
"66","CAGL0F08085g",3446.36381273027,1.41056557478928,0.158836810646355,3.74060470732497e-17,"","CAL0129384","YGR243W","MPC3","S000003475"
"67","CAGL0F08745g",95105.799458382,2.44461645819991,0.275199455071707,3.69983695243318e-17,"","CAL0131378","YGR008C","STF2","S000003240"
"68","CAGL0F08965g",6842.34150522378,1.60299457383775,0.193866048444719,5.1030241342099e-15,"","CAL0131068","YHR039C","MSC7","S000001081"
"69","CAGL0G00242g",2328.3991046242,1.14295483882257,0.167698758457604,1.71594500799568e-10,"YOR1","CAL0130663","YGR281W","YOR1","S000003513"
"70","CAGL0G00550g",3647.88524942095,1.56974434477873,0.184827963826382,8.76555381361439e-16,"","CAL0130580","YGR268C","HUA1","S000003500"
"71","CAGL0G00858g",2568.46636433106,1.23499232924587,0.184385903938073,3.60096684469449e-10,"","CAL0130239","YLR332W","MID2","S000004324"
"72","CAGL0G01100g",1762.6601454669,1.05970822863507,0.192398002457252,3.71003237550462e-07,"","CAL0129305","YLR345W","YLR345W","S000004337"
"73","CAGL0G01342g",1481.70850921937,1.21144332822496,0.2083349652687,7.08034147011907e-08,"","CAL0129285","YNL054W","VAC7","S000004999"
"74","CAGL0G01903g",887.318827999282,1.32442754759647,0.23401885135063,1.67038386800453e-07,"MET1","CAL0137635","YKR069W","MET1","S000001777"
"75","CAGL0G02145g",522.144636620134,1.37462660056752,0.237272723111984,8.0092342441606e-08,"","CAL0137547","YKR078W","VPS501","S000001786"
"76","CAGL0G02717g",84.8793795421835,1.40817333245322,0.350355426596647,0.000313565441204921,"","CAL0129476","YIL099W","SGA1","S000001361"
"77","CAGL0G02739g",74.91401847836,1.23885348991654,0.426091603750514,0.0114282275086166,"","CAL0129245","YIL101C","XBP1","S000001363"
"78","CAGL0G03245g",6450.28857830251,1.14311789161624,0.190225319579939,2.38578686119819e-08,"","CAL0137759","YJL082W","IML2","S000003618"
"79","CAGL0G03883g",1237.5475203576,1.18929786995313,0.23384617239058,3.0797826456395e-06,"","CAL0130564","YLL026W","HSP104","S000003949"
"80","CAGL0G04499g",1925.16361408418,2.47276712899114,0.33278182166694,2.66196685061279e-12,"","CAL0130085","YJL105W","SET4","S000003641"
"81","CAGL0G05269g",849.257147337104,1.41745314870122,0.360849553907361,0.000438253265676011,"","CAL0130773","YDR070C","FMP16","S000002477"
"82","CAGL0G05335g",1317.81425533205,1.00753193340974,0.248531751728448,0.000274039855967367,"TPS2","CAL0129888","YDR074W","TPS2","S000002481"
"83","CAGL0G05544g",1198.19258828291,2.05540099653029,0.30143754854507,1.69121466996612e-10,"","CAL0137697","YDL223C","HBT1","S000002382"
"84","CAGL0G05720g",235.522707382129,1.15979602811087,0.233446591844131,5.45792412011798e-06,"","CAL0130219","YDL214C","PRR2","S000002373"
"85","CAGL0G06006g",5198.15494832153,1.48803401973878,0.175534298613695,9.95755857989322e-16,"","CAL0130817","YHR138C","YHR138C","S000001180"
"86","CAGL0G06094g",2463.5972024711,1.0147193549337,0.201848521454038,4.10596882762298e-06,"","CAL0137767","YHR132W-A","IGO2","S000007496"
"87","CAGL0G06358g",6655.75831174261,1.13026084360632,0.162691047950369,7.33924405543263e-11,"","CAL0137693","YAL030W","SNC1","S000000028"
"88","CAGL0G06798g",203.833954923651,1.23354168804231,0.47838679250819,0.0267851014864592,"","CAL0137739","YJR005C-A","LSO1","S000028523"
"89","CAGL0G06842g",13253.9231842623,1.08593406623151,0.253754948873706,0.000110701377990364,"","CAL0137783","YJL020C","BBC1","S000003557"
"90","CAGL0G07601g",6918.76006834015,1.41432638436971,0.182784488733341,2.96419051568874e-13,"","CAL0130745","YBR287W","YBR287W","S000000491"
"91","CAGL0G08338g",2439.71273244953,1.42318980954947,0.177139813923137,3.1415848167556e-14,"","CAL0129399","YLR241W","CSC1","S000004231"
"92","CAGL0G09020g",1301.67356345043,1.16662215050364,0.229797394225004,3.21961333265407e-06,"","CAL0130324","YPL203W","TPK2","S000006124"
"93","CAGL0G09064g",1503.50930126761,2.42376898783164,0.240654168902038,7.38676925284517e-22,"","CAL0130049","YPL201C","YIG1","S000006122"
"94","CAGL0G09449g",9703.3064665061,1.80922335599691,0.174556818449398,4.08450267355726e-23,"CRH1","CAL0137545","YGR189C","CRH1","S000003421"
"95","CAGL0H00737g",6616.50398294865,1.25258649421052,0.188019743630383,4.52274816168091e-10,"","CAL0131856","YPL249C","GYP5","S000006170"
"96","CAGL0H01309g",2876.8207950935,1.00642653091585,0.232667056103651,9.19650357289688e-05,"","CAL0130301","YDR294C","DPL1","S000002702"
"97","CAGL0H02101g",977.584601042886,2.24001910745469,0.377697857347309,3.71892357734655e-08,"","CAL0131668","YHR087W","RTC3","S000001129"
"98","CAGL0H02387g",2630.11616675834,1.28242484111079,0.228932943165522,2.26497397892158e-07,"","CAL0131882","YMR261C","TPS3","S000004874"
"99","CAGL0H02541g",485.207353901544,1.08261262635976,0.23345795014058,2.47498306431454e-05,"","CAL0131820","YMR252C","MLO1","S000004865"
"100","CAGL0H02563g",324.626614973269,2.07982331852929,0.249331258555556,2.9117360304206e-15,"","CAL0130631","YMR251W-A","HOR7","S000004864"
"101","CAGL0H02893g",1533.26606330446,1.07586449113984,0.209797376218013,2.51297734236629e-06,"","CAL0131496","YJL070C","YJL070C","S000003606"
"102","CAGL0H03289g",2367.80891330931,1.14630292685985,0.206130552506568,2.83798652760098e-07,"","CAL0131430","YGL082W","YGL082W","S000003050"
"103","CAGL0H03311g",243.699099407682,1.37299559145378,0.25861697272126,1.03921934657564e-06,"","CAL0130332","YGL081W","YGL081W","S000003049"
"104","CAGL0H04653g",14154.4919181869,1.34806611909385,0.195171512912993,9.59901494308128e-11,"ERG6","CAL0131698","YML008C","ERG6","S000004467"
"105","CAGL0H04939g",496.358018768823,1.32882697139244,0.392673902794952,0.00289520110128036,"FBP1","CAL0131476","YLR377C","FBP1","S000004369"
"106","CAGL0H05005g",3832.80304178585,1.22722483620432,0.16592982932036,3.36044491069696e-12,"","CAL0131440","YLR380W","CSR1","S000004372"
"107","CAGL0H05621g",3059.4388490833,1.39078942673373,0.173182125311033,3.21068045644399e-14,"RLM1","CAL0131602","YPL089C","RLM1","S000006010"
"108","CAGL0H05841g",1095.47150979391,1.06962642716128,0.179981268472895,3.47654650370604e-08,"","CAL0131660","YPL100W","ATG21","S000006021"
"109","CAGL0H06545g",400.732399687341,1.469789673335,0.294035122051884,4.69846698035039e-06,"","CAL0130627","YIL146C","ATG32","S000001408"
"110","CAGL0H06721g",1910.12048114612,1.50795654727197,0.172538246577757,1.16861195348358e-16,"","CAL0131716","YIL156W","UBP7","S000001418"
"111","CAGL0H07359g",1592.36772224634,1.43817529343956,0.175708615537613,1.0097291439067e-14,"PHO8","CAL0129615","YDR481C","PHO8","S000002889"
"112","CAGL0H07557g",3998.27652152663,1.06809354358769,0.203818276827807,1.45820967721041e-06,"","CAL0129972","YGL254W","FZF1","S000003223"
"113","CAGL0H07667g",792.258214320491,1.0198099444583,0.197076434202423,2.00844105321179e-06,"","CAL0131902","YGL248W","PDE1","S000003217"
"114","CAGL0H08261g",478.676061388889,2.39868592518909,0.205804823353629,4.00483189959327e-29,"","CAL0131992","YOR019W","YOR019W","S000005545"
"115","CAGL0H08844g",11708.3656470487,1.29662750493262,0.307235185154091,0.000140865129967547,"","CAL0132038","YMR173W","DDR48","S000004784"
"116","CAGL0H09460g",398.599563717419,1.70785308901291,0.204200973232054,2.51700040703543e-15,"","CAL0130042","YER015W","FAA2","S000000817"
"117","CAGL0H10202g",7576.08672851246,1.03093343515419,0.180742894865322,1.30870548672496e-07,"","CAL0131606","YBR058C-A","TSC3","S000007521"
"118","CAGL0H10208g",61.2242597122903,1.07508766860137,0.397491497074741,0.0194245377906861,"","CAL0131706","YBR059C","AKL1","S000000263"
"119","CAGL0I00836g",1673.76196240528,1.12721971417828,0.194590993038407,8.02319690414421e-08,"","CAL0132070","YMR140W","SIP5","S000004748"
"120","CAGL0I01012g",982.989914659207,1.42493252282204,0.189363670574531,1.38339533575059e-12,"PEP12","CAL0132748","YOR036W","PEP12","S000005562"
"121","CAGL0I01276g",345.427347753215,1.3215846862785,0.406145118418355,0.004291313068958,"","CAL0130065","YHR112C","YHR112C","S000001154"
"122","CAGL0I01298g",249.92862903986,1.81248114371726,0.33179253380055,4.72359013255225e-07,"","CAL0132602","YHR113W","APE4","S000001155"
"123","CAGL0I01320g",1073.80749096781,1.25414168404782,0.343063549944171,0.00116610576836506,"","CAL0132436","YJR051W","OSM1","S000003812"
"124","CAGL0I02134g",917.41428225253,1.39531838102606,0.1751248555798,5.19319568807318e-14,"PEX21B","CAL0132104","YHR160C","PEX18","S000001203"
"125","CAGL0I02970g",7128.84412142804,1.11109837367297,0.155556341935596,1.99128116348295e-11,"ERG24","CAL0132418","YNL280C","ERG24","S000005224"
"126","CAGL0I04554g",7169.94352079883,1.13444532319839,0.200273583386875,1.62609778282848e-07,"GRX7","CAL0132160","YBR014C","GRX7","S000000218"
"127","CAGL0I04774g",3130.85463786075,1.13891631222025,0.16969406410611,3.30053491994302e-10,"","CAL0129668","YBR036C","CSG2","S000000240"
"128","CAGL0I04972g",516.153665529348,1.35974352393577,0.241421792816835,1.92338794107317e-07,"","CAL0132642","YER092W","IES5","S000000894"
"129","CAGL0I04994g",10135.8689419958,1.78684453699233,0.271729194157082,7.8130817587307e-10,"MET6","CAL0132720","YER091C","MET6","S000000893"
"130","CAGL0I05610g",1663.37376812914,2.60404952015669,0.279608761048518,9.13223024495058e-19,"","CAL0130450","YNR014W","YNR014W","S000005297"
"131","CAGL0I05830g",1985.70629072414,1.70150615607176,0.171347472135108,2.8533381695684e-21,"VPS27","CAL0132704","YNR006W","VPS27","S000005289"
"132","CAGL0I05896g",1214.11489884614,1.06787914484037,0.235032144187057,3.70698428909737e-05,"YAK1","CAL0132074","YJL141C","YAK1","S000003677"
"133","CAGL0I06072g",1940.47048825423,1.09419926946957,0.237023015670575,2.70687792970588e-05,"","CAL0132548","YJL154C","VPS35","S000003690"
"134","CAGL0I06094g",1793.53087727626,1.16300618088308,0.229379134475042,3.31500825439426e-06,"FBP26","CAL0132240","YJL155C","FBP26","S000003691"
"135","CAGL0I06402g",4061.61825005486,1.01003015796953,0.20482362671167,6.44221425518948e-06,"","CAL0132222","YPR173C","VPS4","S000006377"
"136","CAGL0I07249g",494.655003230781,2.08914259842263,0.257005096021842,1.51778732719724e-14,"","CAL0130255","YOR134W","BAG7","S000005660"
"137","CAGL0I08305g",2278.8242146594,1.42782314883688,0.356483942313449,0.000329514394133565,"","CAL0132184","YER024W","YAT2","S000000826"
"138","CAGL0I08591g",431.948004193595,1.87983086625199,0.293538755685933,2.28178305635983e-09,"","CAL0129426","YER158C","YER158C","S000000960"
"139","CAGL0I09482g",1217.8128175697,1.5322563491763,0.17706625234519,2.40240775250604e-16,"","CAL0132118","YBR273C","UBX7","S000000477"
"140","CAGL0J00539g",5933.75264815793,1.5915576472628,0.159283441722395,1.59075589097354e-21,"SLT2","CAL0133196","YHR030C","SLT2","S000001072"
"141","CAGL0J02134g",1641.08694095587,1.12053004808865,0.163367880101634,1.31052683057203e-10,"","CAL0133186","YIL002C","INP51","S000001264"
"142","CAGL0J03080g",868.413481848534,1.92821090786237,0.281552335596049,1.39922051690468e-10,"","CAL0129589","YER067W","RGI1","S000000869"
"143","CAGL0J03432g",1847.15481772412,1.0500350238663,0.184647132280085,1.43433804376332e-07,"","CAL0133454","YNL020C","ARK1","S000004965"
"144","CAGL0J03762g",1574.41563314056,1.56726493810715,0.202803855962056,3.16168372070127e-13,"MET7","CAL0132870","YOR241W","MET7","S000005767"
"145","CAGL0J03916g",6169.67980090812,4.06168978287325,0.217273003634005,9.25369051489071e-75,"","CAL0133240","YOR237W","HES1","S000005763"
"146","CAGL0J04004g",326.803189656957,2.00274738767381,0.275157130290817,7.71255091120166e-12,"","CAL0132792","YOR228C","MCP1","S000005754"
"147","CAGL0J04158g",10218.2766774969,3.07292949611988,0.173898578965442,8.80726851795409e-67,"RCN2","CAL0133192","YOR220W","RCN2","S000005746"
"148","CAGL0J04466g",5731.56773397115,1.28663553079373,0.151114358047231,7.35860877008363e-16,"","CAL0132886","YLR414C","PUN1","S000004406"
"149","CAGL0J04884g",1067.97522291173,1.36080909874462,0.359825921970024,0.000737234909956288,"","CAL0133456","YJL048C","UBX6","S000003584"
"150","CAGL0J05126g",3337.15046054956,1.60913816803642,0.208252601887624,3.17144396889081e-13,"BNA3","CAL0129649","YJL060W","BNA3","S000003596"
"151","CAGL0J05830g",887.340141204636,1.84398719354154,0.191889357315118,6.07434182930023e-20,"","CAL0133550","YNL144C","YNL144C","S000005088"
"152","CAGL0J06908g",1269.96306741102,1.56052998261153,0.206769502734602,1.18420855602776e-12,"","CAL0133642","YPL119C","DBP1","S000006040"
"153","CAGL0J08316g",3832.8874835681,2.10680070499863,0.238288825955591,5.20119687805569e-17,"","CAL0133696","YNL277W","MET2","S000005221"
"154","CAGL0J08415g",9540.52804969449,1.64681827700489,0.199145881280019,5.1030241342099e-15,"SAM2","CAL0133194","YDR502C","SAM2","S000002910"
"155","CAGL0J08437g",5390.76915171942,1.14706766939066,0.173818026490269,6.71678525439773e-10,"","CAL0133600","YDR503C","LPP1","S000002911"
"156","CAGL0J09020g",1397.06509517536,1.0652036551531,0.233634925572602,3.48673275596842e-05,"SNF3","CAL0133546","YDL194W","SNF3","S000002353"
"157","CAGL0J09416g",4546.23446100824,1.48517623156946,0.186582462440291,5.49032721899356e-14,"","CAL0132998","YDL123W","SNA4","S000002281"
"158","CAGL0J10494g",476.818424611902,2.41290446182939,0.23765931616912,3.28998875841431e-22,"","CAL0133712","YDR441C","APT2","S000002849"
"159","CAGL0J10824g",2725.80655947948,1.2169504508765,0.168012308718594,9.92476490595152e-12,"ERG7","CAL0133068","YHR072W","ERG7","S000001114"
"160","CAGL0J11176g",2229.14170939114,1.24628306644909,0.155236814717209,3.25576771398631e-14,"","CAL0133688","YNL176C","TDA7","S000005120"
"161","CAGL0J11484g",1252.73874353036,1.23611334616279,0.245493055759976,3.94921310715828e-06,"DUG3","CAL0133314","YNL191W","DUG3","S000005135"
"162","CAGL0J11506g",3595.33432893593,1.00102696527237,0.180702559378317,3.16103453380281e-07,"","CAL0133366","YNL192W","CHS1","S000005136"
"163","CAGL0J11704g",1186.03959882842,1.39607296879005,0.191707710905906,7.53603838047286e-12,"","CAL0133560","YMR004W","MVP1","S000004606"
"164","CAGL0K00231g",600.886845137187,1.0263486323067,0.198204008914037,1.9810377480777e-06,"","CAL0133793","YKL215C","OXP1","S000001698"
"165","CAGL0K00715g",4809.34309024015,2.81903765954443,0.213014050191519,1.99528569896797e-37,"RTA1","CAL0134951","YGR213C","RTA1","S000003445"
"166","CAGL0K00891g",1225.79334533361,1.47183905537765,0.212008767580528,7.57045583013924e-11,"","CAL0134831","YGR205W","TDA10","S000003437"
"167","CAGL0K01903g",729.592014579619,1.3968944205722,0.230986048884661,1.90754295360328e-08,"","CAL0133955","YDL012C","YDL012C","S000002170"
"168","CAGL0K02651g",176.676657422796,1.38878430090643,0.305023766138995,3.58190661906466e-05,"","CAL0134257","YHL008C","YHL008C","S000001000"
"169","CAGL0K02761g",2509.04860365756,1.29513273967232,0.15124626278526,4.91207554275345e-16,"","CAL0134043","YHL002W","HSE1","S000000994"
"170","CAGL0K03157g",442.08776949323,1.37181402732249,0.310923008504914,6.32777403030478e-05,"DUR31","CAL0133933","YHL016C","DUR3","S000001008"
"171","CAGL0K03377g",4652.26107222702,1.19875958347938,0.142785937718431,1.96807526321591e-15,"","CAL0133829","YMR102C","LAF1","S000004708"
"172","CAGL0K03421g",239.840626510856,1.54004999926276,0.385808640738152,0.000344168659113414,"","CAL0133807","YMR105C","PGM2","S000004711"
"173","CAGL0K03459g",4610.15398100503,1.1710836192374,0.295090420339193,0.000374330165112693,"","CAL0134707","YMR107W","SPG4","S000004713"
"174","CAGL0K03509g",8824.38487309379,1.52463366191163,0.250412898044761,1.50959277486354e-08,"HFD1","CAL0133859","YMR110C","HFD1","S000004716"
"175","CAGL0K03553g",1128.45886903422,1.29244078395616,0.233609433679191,3.26553283107477e-07,"FOL3","CAL0134461","YMR113W","FOL3","S000004719"
"176","CAGL0K03927g",3723.85703905661,1.48439659439116,0.154006919845354,4.66511897737195e-20,"","CAL0134907","YMR134W","ERG29","S000004741"
"177","CAGL0K04037g",5173.13487738734,1.38847552144265,0.217540226358265,2.59372106660562e-09,"FKS2","CAL0134701","YGR032W","GSC2","S000003264"
"178","CAGL0K04169g",7359.0836001491,1.30147105948961,0.208227864314294,5.82887676289495e-09,"","CAL0134719","YGR040W","KSS1","S000003272"
"179","CAGL0K04279g",2731.53178984585,1.13597317062246,0.167104549730114,1.92435596213402e-10,"SCM4","CAL0134775","YGR049W","SCM4","S000003281"
"180","CAGL0K04301g",59.4434907686172,1.45285647093778,0.381571370758604,0.000676841239235909,"","CAL0134307","YGR052W","FMP48","S000003284"
"181","CAGL0K04367g",4337.89720893585,1.3865760105894,0.312060141212835,5.58544644753782e-05,"","CAL0134427","YGR055W","MUP1","S000003287"
"182","CAGL0K04433g",1871.85807621773,1.17318284651591,0.153888636091989,6.82389230443056e-13,"","CAL0134139","YGR058W","PEF1","S000003290"
"183","CAGL0K04477g",35251.1643033992,1.33484602382567,0.211586543098266,4.05822206929912e-09,"ERG25","CAL0134207","YGR060W","ERG25","S000003292"
"184","CAGL0K04719g",2459.9224652873,2.05717586604385,0.15525849681647,1.73736287465156e-37,"","CAL0134367","YNL208W","YNL208W","S000005152"
"185","CAGL0K05247g",292.925111318951,1.23281711710686,0.277829661423845,5.70701999932766e-05,"","CAL0133941","YPR030W","CSR2","S000006234"
"186","CAGL0K05291g",5449.49206651506,1.34145401845539,0.206844001988978,1.38064148621028e-09,"SRO7","CAL0133805","YPR032W","SRO7","S000006236"
